Category: Food & Drink

Week,Samosa: (Delhi)
2018-01-07,14
2018-01-14,12
2018-01-21,13
2018-01-28,11
2018-02-04,19
2018-02-11,16
2018-02-18,11
2018-02-25,26
2018-03-04,8
2018-03-11,22
2018-03-18,13
2018-03-25,16
2018-04-01,10
2018-04-08,13
2018-04-15,11
2018-04-22,11
2018-04-29,10
2018-05-06,0
2018-05-13,7
2018-05-20,22
2018-05-27,15
2018-06-03,13
2018-06-10,16
2018-06-17,22
2018-06-24,15
2018-07-01,12
2018-07-08,10
2018-07-15,3
2018-07-22,20
2018-07-29,16
2018-08-05,22
2018-08-12,16
2018-08-19,20
2018-08-26,10
2018-09-02,14
2018-09-09,15
2018-09-16,8
2018-09-23,13
2018-09-30,19
2018-10-07,11
2018-10-14,5
2018-10-21,16
2018-10-28,4
2018-11-04,9
2018-11-11,15
2018-11-18,9
2018-11-25,4
2018-12-02,16
2018-12-09,13
2018-12-16,11
2018-12-23,20
2018-12-30,20
2019-01-06,14
2019-01-13,18
2019-01-20,18
2019-01-27,13
2019-02-03,15
2019-02-10,11
2019-02-17,15
2019-02-24,15
2019-03-03,13
2019-03-10,14
2019-03-17,3
2019-03-24,6
2019-03-31,5
2019-04-07,17
2019-04-14,19
2019-04-21,12
2019-04-28,13
2019-05-05,10
2019-05-12,10
2019-05-19,16
2019-05-26,6
2019-06-02,17
2019-06-09,9
2019-06-16,11
2019-06-23,16
2019-06-30,22
2019-07-07,13
2019-07-14,16
2019-07-21,15
2019-07-28,18
2019-08-04,17
2019-08-11,19
2019-08-18,18
2019-08-25,14
2019-09-01,6
2019-09-08,12
2019-09-15,14
2019-09-22,11
2019-09-29,10
2019-10-06,12
2019-10-13,10
2019-10-20,11
2019-10-27,13
2019-11-03,9
2019-11-10,8
2019-11-17,16
2019-11-24,8
2019-12-01,22
2019-12-08,15
2019-12-15,15
2019-12-22,18
2019-12-29,11
2020-01-05,13
2020-01-12,15
2020-01-19,16
2020-01-26,17
2020-02-02,16
2020-02-09,13
2020-02-16,21
2020-02-23,10
2020-03-01,11
2020-03-08,20
2020-03-15,14
2020-03-22,28
2020-03-29,51
2020-04-05,90
2020-04-12,94
2020-04-19,100
2020-04-26,86
2020-05-03,68
2020-05-10,49
2020-05-17,35
2020-05-24,40
2020-05-31,34
2020-06-07,30
2020-06-14,18
2020-06-21,25
2020-06-28,28
2020-07-05,24
2020-07-12,21
2020-07-19,32
2020-07-26,25
2020-08-02,20
2020-08-09,17
2020-08-16,21
2020-08-23,24
2020-08-30,21
2020-09-06,22
2020-09-13,18
2020-09-20,21
2020-09-27,12
2020-10-04,12
2020-10-11,8
2020-10-18,13
2020-10-25,19
2020-11-01,16
2020-11-08,19
2020-11-15,13
2020-11-22,17
2020-11-29,27
2020-12-06,10
2020-12-13,18
2020-12-20,19
2020-12-27,17
2021-01-03,16
2021-01-10,15
2021-01-17,29
2021-01-24,21
2021-01-31,27
2021-02-07,18
2021-02-14,15
2021-02-21,17
2021-02-28,8
2021-03-07,15
2021-03-14,16
2021-03-21,15
2021-03-28,19
2021-04-04,15
2021-04-11,14
2021-04-18,22
2021-04-25,16
2021-05-02,25
2021-05-09,31
2021-05-16,36
2021-05-23,38
2021-05-30,18
2021-06-06,14
2021-06-13,20
2021-06-20,16
2021-06-27,17
2021-07-04,11
2021-07-11,21
2021-07-18,27
2021-07-25,18
2021-08-01,16
2021-08-08,22
2021-08-15,12
2021-08-22,16
2021-08-29,16
2021-09-05,20
2021-09-12,15
2021-09-19,10
2021-09-26,15
2021-10-03,16
2021-10-10,12
2021-10-17,15
2021-10-24,10
2021-10-31,18
2021-11-07,11
2021-11-14,17
2021-11-21,20
2021-11-28,13
2021-12-05,19
2021-12-12,15
2021-12-19,9
2021-12-26,18
2022-01-02,12
2022-01-09,15
2022-01-16,0
2022-01-23,12
2022-01-30,29
2022-02-06,19
2022-02-13,16
2022-02-20,14
2022-02-27,19
2022-03-06,16
2022-03-13,17
2022-03-20,17
2022-03-27,16
2022-04-03,15
2022-04-10,19
2022-04-17,14
2022-04-24,16
2022-05-01,17
2022-05-08,19
2022-05-15,7
2022-05-22,21
2022-05-29,18
2022-06-05,19
2022-06-12,21
2022-06-19,14
2022-06-26,18
2022-07-03,20
2022-07-10,19
2022-07-17,22
2022-07-24,15
2022-07-31,15
2022-08-07,12
2022-08-14,15
2022-08-21,19
2022-08-28,21
2022-09-04,15
2022-09-11,28
2022-09-18,16
2022-09-25,13
2022-10-02,13
2022-10-09,7
2022-10-16,18
2022-10-23,13
2022-10-30,11
2022-11-06,9
2022-11-13,8
2022-11-20,33
2022-11-27,51
2022-12-04,19
2022-12-11,10
2022-12-18,20
2022-12-25,16
