Category: Food & Drink

Week,Toast: (Delhi)
2018-01-07,30
2018-01-14,39
2018-01-21,41
2018-01-28,18
2018-02-04,0
2018-02-11,66
2018-02-18,29
2018-02-25,35
2018-03-04,40
2018-03-11,50
2018-03-18,14
2018-03-25,19
2018-04-01,30
2018-04-08,23
2018-04-15,29
2018-04-22,20
2018-04-29,0
2018-05-06,15
2018-05-13,16
2018-05-20,21
2018-05-27,0
2018-06-03,0
2018-06-10,12
2018-06-17,34
2018-06-24,21
2018-07-01,25
2018-07-08,0
2018-07-15,29
2018-07-22,45
2018-07-29,31
2018-08-05,21
2018-08-12,0
2018-08-19,36
2018-08-26,50
2018-09-02,0
2018-09-09,0
2018-09-16,35
2018-09-23,78
2018-09-30,21
2018-10-07,0
2018-10-14,0
2018-10-21,42
2018-10-28,0
2018-11-04,26
2018-11-11,0
2018-11-18,21
2018-11-25,0
2018-12-02,28
2018-12-09,63
2018-12-16,0
2018-12-23,0
2018-12-30,34
2019-01-06,21
2019-01-13,0
2019-01-20,49
2019-01-27,34
2019-02-03,30
2019-02-10,32
2019-02-17,48
2019-02-24,39
2019-03-03,23
2019-03-10,26
2019-03-17,0
2019-03-24,85
2019-03-31,0
2019-04-07,18
2019-04-14,29
2019-04-21,18
2019-04-28,0
2019-05-05,72
2019-05-12,0
2019-05-19,41
2019-05-26,40
2019-06-02,0
2019-06-09,41
2019-06-16,47
2019-06-23,22
2019-06-30,30
2019-07-07,79
2019-07-14,50
2019-07-21,35
2019-07-28,28
2019-08-04,36
2019-08-11,33
2019-08-18,51
2019-08-25,39
2019-09-01,41
2019-09-08,16
2019-09-15,0
2019-09-22,28
2019-09-29,14
2019-10-06,33
2019-10-13,52
2019-10-20,0
2019-10-27,40
2019-11-03,12
2019-11-10,24
2019-11-17,0
2019-11-24,85
2019-12-01,38
2019-12-08,0
2019-12-15,0
2019-12-22,24
2019-12-29,19
2020-01-05,18
2020-01-12,12
2020-01-19,33
2020-01-26,25
2020-02-02,35
2020-02-09,36
2020-02-16,45
2020-02-23,23
2020-03-01,38
2020-03-08,39
2020-03-15,69
2020-03-22,52
2020-03-29,75
2020-04-05,73
2020-04-12,73
2020-04-19,33
2020-04-26,53
2020-05-03,66
2020-05-10,47
2020-05-17,85
2020-05-24,46
2020-05-31,79
2020-06-07,14
2020-06-14,71
2020-06-21,25
2020-06-28,44
2020-07-05,19
2020-07-12,45
2020-07-19,34
2020-07-26,38
2020-08-02,58
2020-08-09,66
2020-08-16,22
2020-08-23,82
2020-08-30,29
2020-09-06,16
2020-09-13,40
2020-09-20,74
2020-09-27,27
2020-10-04,23
2020-10-11,24
2020-10-18,0
2020-10-25,56
2020-11-01,37
2020-11-08,99
2020-11-15,0
2020-11-22,43
2020-11-29,45
2020-12-06,59
2020-12-13,39
2020-12-20,32
2020-12-27,0
2021-01-03,31
2021-01-10,29
2021-01-17,25
2021-01-24,40
2021-01-31,37
2021-02-07,46
2021-02-14,43
2021-02-21,0
2021-02-28,64
2021-03-07,25
2021-03-14,0
2021-03-21,52
2021-03-28,41
2021-04-04,19
2021-04-11,42
2021-04-18,40
2021-04-25,46
2021-05-02,40
2021-05-09,61
2021-05-16,0
2021-05-23,17
2021-05-30,0
2021-06-06,61
2021-06-13,17
2021-06-20,57
2021-06-27,29
2021-07-04,0
2021-07-11,19
2021-07-18,54
2021-07-25,67
2021-08-01,35
2021-08-08,39
2021-08-15,52
2021-08-22,64
2021-08-29,23
2021-09-05,0
2021-09-12,58
2021-09-19,68
2021-09-26,20
2021-10-03,19
2021-10-10,0
2021-10-17,49
2021-10-24,59
2021-10-31,22
2021-11-07,20
2021-11-14,50
2021-11-21,33
2021-11-28,0
2021-12-05,0
2021-12-12,24
2021-12-19,0
2021-12-26,0
2022-01-02,72
2022-01-09,51
2022-01-16,28
2022-01-23,19
2022-01-30,0
2022-02-06,0
2022-02-13,33
2022-02-20,17
2022-02-27,37
2022-03-06,47
2022-03-13,13
2022-03-20,10
2022-03-27,100
2022-04-03,28
2022-04-10,29
2022-04-17,22
2022-04-24,22
2022-05-01,42
2022-05-08,12
2022-05-15,17
2022-05-22,31
2022-05-29,35
2022-06-05,45
2022-06-12,38
2022-06-19,27
2022-06-26,38
2022-07-03,37
2022-07-10,16
2022-07-17,45
2022-07-24,14
2022-07-31,44
2022-08-07,15
2022-08-14,32
2022-08-21,31
2022-08-28,0
2022-09-04,14
2022-09-11,40
2022-09-18,28
2022-09-25,36
2022-10-02,35
2022-10-09,38
2022-10-16,0
2022-10-23,20
2022-10-30,52
2022-11-06,24
2022-11-13,24
2022-11-20,12
2022-11-27,0
2022-12-04,0
2022-12-11,38
2022-12-18,12
2022-12-25,32
