Category: Food & Drink

Week,Biryani: (Delhi)
2018-01-07,66
2018-01-14,44
2018-01-21,53
2018-01-28,56
2018-02-04,47
2018-02-11,55
2018-02-18,72
2018-02-25,62
2018-03-04,61
2018-03-11,56
2018-03-18,46
2018-03-25,68
2018-04-01,58
2018-04-08,61
2018-04-15,53
2018-04-22,62
2018-04-29,60
2018-05-06,54
2018-05-13,66
2018-05-20,64
2018-05-27,64
2018-06-03,55
2018-06-10,76
2018-06-17,69
2018-06-24,67
2018-07-01,52
2018-07-08,70
2018-07-15,62
2018-07-22,64
2018-07-29,54
2018-08-05,63
2018-08-12,64
2018-08-19,60
2018-08-26,53
2018-09-02,60
2018-09-09,65
2018-09-16,68
2018-09-23,62
2018-09-30,64
2018-10-07,40
2018-10-14,49
2018-10-21,58
2018-10-28,63
2018-11-04,81
2018-11-11,66
2018-11-18,72
2018-11-25,60
2018-12-02,64
2018-12-09,61
2018-12-16,52
2018-12-23,61
2018-12-30,49
2019-01-06,47
2019-01-13,53
2019-01-20,62
2019-01-27,57
2019-02-03,64
2019-02-10,46
2019-02-17,56
2019-02-24,61
2019-03-03,65
2019-03-10,60
2019-03-17,59
2019-03-24,52
2019-03-31,49
2019-04-07,45
2019-04-14,73
2019-04-21,74
2019-04-28,75
2019-05-05,71
2019-05-12,72
2019-05-19,65
2019-05-26,81
2019-06-02,78
2019-06-09,68
2019-06-16,66
2019-06-23,75
2019-06-30,64
2019-07-07,68
2019-07-14,51
2019-07-21,59
2019-07-28,59
2019-08-04,56
2019-08-11,62
2019-08-18,67
2019-08-25,71
2019-09-01,60
2019-09-08,61
2019-09-15,61
2019-09-22,51
2019-09-29,37
2019-10-06,62
2019-10-13,59
2019-10-20,59
2019-10-27,53
2019-11-03,52
2019-11-10,63
2019-11-17,61
2019-11-24,64
2019-12-01,53
2019-12-08,60
2019-12-15,58
2019-12-22,69
2019-12-29,70
2020-01-05,59
2020-01-12,54
2020-01-19,45
2020-01-26,49
2020-02-02,65
2020-02-09,51
2020-02-16,60
2020-02-23,65
2020-03-01,53
2020-03-08,60
2020-03-15,42
2020-03-22,28
2020-03-29,55
2020-04-05,67
2020-04-12,71
2020-04-19,68
2020-04-26,60
2020-05-03,67
2020-05-10,47
2020-05-17,66
2020-05-24,82
2020-05-31,56
2020-06-07,43
2020-06-14,57
2020-06-21,57
2020-06-28,59
2020-07-05,53
2020-07-12,49
2020-07-19,47
2020-07-26,55
2020-08-02,65
2020-08-09,51
2020-08-16,67
2020-08-23,62
2020-08-30,56
2020-09-06,53
2020-09-13,47
2020-09-20,50
2020-09-27,59
2020-10-04,53
2020-10-11,55
2020-10-18,43
2020-10-25,59
2020-11-01,50
2020-11-08,44
2020-11-15,70
2020-11-22,52
2020-11-29,43
2020-12-06,61
2020-12-13,74
2020-12-20,80
2020-12-27,87
2021-01-03,58
2021-01-10,45
2021-01-17,54
2021-01-24,53
2021-01-31,64
2021-02-07,57
2021-02-14,58
2021-02-21,56
2021-02-28,69
2021-03-07,54
2021-03-14,61
2021-03-21,62
2021-03-28,78
2021-04-04,72
2021-04-11,47
2021-04-18,58
2021-04-25,62
2021-05-02,60
2021-05-09,70
2021-05-16,100
2021-05-23,82
2021-05-30,55
2021-06-06,76
2021-06-13,62
2021-06-20,60
2021-06-27,55
2021-07-04,55
2021-07-11,68
2021-07-18,76
2021-07-25,53
2021-08-01,40
2021-08-08,60
2021-08-15,60
2021-08-22,55
2021-08-29,63
2021-09-05,40
2021-09-12,59
2021-09-19,41
2021-09-26,50
2021-10-03,31
2021-10-10,47
2021-10-17,56
2021-10-24,48
2021-10-31,60
2021-11-07,54
2021-11-14,41
2021-11-21,56
2021-11-28,48
2021-12-05,44
2021-12-12,49
2021-12-19,61
2021-12-26,63
2022-01-02,58
2022-01-09,44
2022-01-16,60
2022-01-23,53
2022-01-30,51
2022-02-06,40
2022-02-13,48
2022-02-20,52
2022-02-27,46
2022-03-06,55
2022-03-13,70
2022-03-20,65
2022-03-27,54
2022-04-03,35
2022-04-10,61
2022-04-17,76
2022-04-24,68
2022-05-01,73
2022-05-08,57
2022-05-15,60
2022-05-22,59
2022-05-29,53
2022-06-05,56
2022-06-12,65
2022-06-19,56
2022-06-26,61
2022-07-03,73
2022-07-10,64
2022-07-17,52
2022-07-24,54
2022-07-31,42
2022-08-07,51
2022-08-14,63
2022-08-21,67
2022-08-28,56
2022-09-04,67
2022-09-11,51
2022-09-18,60
2022-09-25,41
2022-10-02,69
2022-10-09,64
2022-10-16,61
2022-10-23,60
2022-10-30,58
2022-11-06,56
2022-11-13,54
2022-11-20,59
2022-11-27,54
2022-12-04,44
2022-12-11,52
2022-12-18,51
2022-12-25,64
