Category: Food & Drink

Week,Naan: (Delhi)
2018-01-07,15
2018-01-14,21
2018-01-21,22
2018-01-28,18
2018-02-04,27
2018-02-11,23
2018-02-18,13
2018-02-25,28
2018-03-04,26
2018-03-11,7
2018-03-18,16
2018-03-25,15
2018-04-01,5
2018-04-08,18
2018-04-15,19
2018-04-22,13
2018-04-29,0
2018-05-06,17
2018-05-13,15
2018-05-20,6
2018-05-27,24
2018-06-03,25
2018-06-10,11
2018-06-17,0
2018-06-24,8
2018-07-01,15
2018-07-08,23
2018-07-15,23
2018-07-22,12
2018-07-29,26
2018-08-05,15
2018-08-12,25
2018-08-19,23
2018-08-26,22
2018-09-02,9
2018-09-09,18
2018-09-16,7
2018-09-23,11
2018-09-30,17
2018-10-07,17
2018-10-14,13
2018-10-21,15
2018-10-28,9
2018-11-04,23
2018-11-11,17
2018-11-18,27
2018-11-25,13
2018-12-02,22
2018-12-09,27
2018-12-16,20
2018-12-23,21
2018-12-30,26
2019-01-06,22
2019-01-13,35
2019-01-20,6
2019-01-27,15
2019-02-03,11
2019-02-10,9
2019-02-17,5
2019-02-24,8
2019-03-03,10
2019-03-10,13
2019-03-17,15
2019-03-24,10
2019-03-31,16
2019-04-07,18
2019-04-14,22
2019-04-21,19
2019-04-28,20
2019-05-05,20
2019-05-12,24
2019-05-19,20
2019-05-26,22
2019-06-02,0
2019-06-09,25
2019-06-16,6
2019-06-23,0
2019-06-30,11
2019-07-07,13
2019-07-14,14
2019-07-21,30
2019-07-28,29
2019-08-04,18
2019-08-11,26
2019-08-18,17
2019-08-25,8
2019-09-01,11
2019-09-08,14
2019-09-15,10
2019-09-22,29
2019-09-29,25
2019-10-06,22
2019-10-13,15
2019-10-20,18
2019-10-27,21
2019-11-03,0
2019-11-10,35
2019-11-17,14
2019-11-24,12
2019-12-01,20
2019-12-08,11
2019-12-15,0
2019-12-22,24
2019-12-29,36
2020-01-05,26
2020-01-12,19
2020-01-19,20
2020-01-26,17
2020-02-02,26
2020-02-09,10
2020-02-16,10
2020-02-23,13
2020-03-01,15
2020-03-08,0
2020-03-15,16
2020-03-22,27
2020-03-29,41
2020-04-05,67
2020-04-12,94
2020-04-19,65
2020-04-26,100
2020-05-03,79
2020-05-10,74
2020-05-17,60
2020-05-24,53
2020-05-31,52
2020-06-07,37
2020-06-14,40
2020-06-21,38
2020-06-28,27
2020-07-05,27
2020-07-12,41
2020-07-19,37
2020-07-26,30
2020-08-02,36
2020-08-09,28
2020-08-16,16
2020-08-23,50
2020-08-30,14
2020-09-06,23
2020-09-13,22
2020-09-20,23
2020-09-27,28
2020-10-04,11
2020-10-11,29
2020-10-18,14
2020-10-25,15
2020-11-01,11
2020-11-08,28
2020-11-15,27
2020-11-22,26
2020-11-29,29
2020-12-06,19
2020-12-13,26
2020-12-20,16
2020-12-27,38
2021-01-03,4
2021-01-10,20
2021-01-17,19
2021-01-24,33
2021-01-31,23
2021-02-07,12
2021-02-14,21
2021-02-21,19
2021-02-28,22
2021-03-07,22
2021-03-14,26
2021-03-21,0
2021-03-28,23
2021-04-04,28
2021-04-11,8
2021-04-18,18
2021-04-25,22
2021-05-02,16
2021-05-09,29
2021-05-16,33
2021-05-23,33
2021-05-30,12
2021-06-06,6
2021-06-13,21
2021-06-20,39
2021-06-27,18
2021-07-04,22
2021-07-11,23
2021-07-18,16
2021-07-25,29
2021-08-01,27
2021-08-08,15
2021-08-15,35
2021-08-22,13
2021-08-29,32
2021-09-05,26
2021-09-12,18
2021-09-19,53
2021-09-26,10
2021-10-03,15
2021-10-10,0
2021-10-17,13
2021-10-24,20
2021-10-31,11
2021-11-07,12
2021-11-14,6
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,9
2021-12-19,12
2021-12-26,19
2022-01-02,31
2022-01-09,39
2022-01-16,12
2022-01-23,15
2022-01-30,24
2022-02-06,13
2022-02-13,14
2022-02-20,13
2022-02-27,13
2022-03-06,19
2022-03-13,11
2022-03-20,13
2022-03-27,25
2022-04-03,0
2022-04-10,23
2022-04-17,27
2022-04-24,18
2022-05-01,10
2022-05-08,17
2022-05-15,9
2022-05-22,19
2022-05-29,13
2022-06-05,13
2022-06-12,31
2022-06-19,33
2022-06-26,18
2022-07-03,27
2022-07-10,9
2022-07-17,24
2022-07-24,12
2022-07-31,22
2022-08-07,27
2022-08-14,22
2022-08-21,16
2022-08-28,19
2022-09-04,15
2022-09-11,16
2022-09-18,13
2022-09-25,16
2022-10-02,16
2022-10-09,24
2022-10-16,18
2022-10-23,13
2022-10-30,19
2022-11-06,10
2022-11-13,7
2022-11-20,16
2022-11-27,16
2022-12-04,18
2022-12-11,14
2022-12-18,15
2022-12-25,14
