Category: Food & Drink

Week,Mango: (Delhi)
2018-01-07,4
2018-01-14,6
2018-01-21,0
2018-01-28,6
2018-02-04,6
2018-02-11,5
2018-02-18,8
2018-02-25,9
2018-03-04,9
2018-03-11,9
2018-03-18,11
2018-03-25,18
2018-04-01,11
2018-04-08,19
2018-04-15,18
2018-04-22,25
2018-04-29,36
2018-05-06,36
2018-05-13,48
2018-05-20,42
2018-05-27,45
2018-06-03,46
2018-06-10,50
2018-06-17,38
2018-06-24,44
2018-07-01,44
2018-07-08,32
2018-07-15,30
2018-07-22,18
2018-07-29,15
2018-08-05,11
2018-08-12,13
2018-08-19,8
2018-08-26,7
2018-09-02,6
2018-09-09,5
2018-09-16,5
2018-09-23,7
2018-09-30,5
2018-10-07,8
2018-10-14,5
2018-10-21,6
2018-10-28,6
2018-11-04,3
2018-11-11,6
2018-11-18,6
2018-11-25,5
2018-12-02,4
2018-12-09,11
2018-12-16,5
2018-12-23,8
2018-12-30,6
2019-01-06,8
2019-01-13,9
2019-01-20,8
2019-01-27,8
2019-02-03,6
2019-02-10,5
2019-02-17,6
2019-02-24,4
2019-03-03,6
2019-03-10,8
2019-03-17,3
2019-03-24,9
2019-03-31,8
2019-04-07,19
2019-04-14,17
2019-04-21,33
2019-04-28,31
2019-05-05,30
2019-05-12,40
2019-05-19,34
2019-05-26,39
2019-06-02,41
2019-06-09,44
2019-06-16,38
2019-06-23,39
2019-06-30,30
2019-07-07,36
2019-07-14,23
2019-07-21,24
2019-07-28,22
2019-08-04,11
2019-08-11,12
2019-08-18,14
2019-08-25,8
2019-09-01,11
2019-09-08,8
2019-09-15,7
2019-09-22,6
2019-09-29,9
2019-10-06,5
2019-10-13,2
2019-10-20,7
2019-10-27,6
2019-11-03,6
2019-11-10,3
2019-11-17,7
2019-11-24,9
2019-12-01,6
2019-12-08,8
2019-12-15,4
2019-12-22,5
2019-12-29,6
2020-01-05,4
2020-01-12,9
2020-01-19,6
2020-01-26,6
2020-02-02,8
2020-02-09,7
2020-02-16,3
2020-02-23,6
2020-03-01,4
2020-03-08,9
2020-03-15,12
2020-03-22,5
2020-03-29,10
2020-04-05,14
2020-04-12,18
2020-04-19,38
2020-04-26,52
2020-05-03,65
2020-05-10,80
2020-05-17,99
2020-05-24,100
2020-05-31,81
2020-06-07,85
2020-06-14,85
2020-06-21,65
2020-06-28,74
2020-07-05,59
2020-07-12,56
2020-07-19,40
2020-07-26,35
2020-08-02,19
2020-08-09,24
2020-08-16,13
2020-08-23,15
2020-08-30,11
2020-09-06,10
2020-09-13,10
2020-09-20,4
2020-09-27,9
2020-10-04,5
2020-10-11,8
2020-10-18,9
2020-10-25,9
2020-11-01,8
2020-11-08,12
2020-11-15,2
2020-11-22,8
2020-11-29,6
2020-12-06,9
2020-12-13,4
2020-12-20,3
2020-12-27,8
2021-01-03,2
2021-01-10,6
2021-01-17,7
2021-01-24,10
2021-01-31,12
2021-02-07,6
2021-02-14,9
2021-02-21,8
2021-02-28,9
2021-03-07,10
2021-03-14,12
2021-03-21,21
2021-03-28,17
2021-04-04,26
2021-04-11,27
2021-04-18,29
2021-04-25,30
2021-05-02,47
2021-05-09,59
2021-05-16,49
2021-05-23,73
2021-05-30,66
2021-06-06,69
2021-06-13,63
2021-06-20,62
2021-06-27,52
2021-07-04,44
2021-07-11,35
2021-07-18,25
2021-07-25,20
2021-08-01,16
2021-08-08,20
2021-08-15,14
2021-08-22,11
2021-08-29,8
2021-09-05,9
2021-09-12,11
2021-09-19,7
2021-09-26,9
2021-10-03,10
2021-10-10,9
2021-10-17,7
2021-10-24,4
2021-10-31,0
2021-11-07,10
2021-11-14,8
2021-11-21,5
2021-11-28,6
2021-12-05,7
2021-12-12,13
2021-12-19,5
2021-12-26,7
2022-01-02,2
2022-01-09,9
2022-01-16,10
2022-01-23,7
2022-01-30,11
2022-02-06,8
2022-02-13,12
2022-02-20,11
2022-02-27,13
2022-03-06,16
2022-03-13,12
2022-03-20,14
2022-03-27,14
2022-04-03,21
2022-04-10,27
2022-04-17,35
2022-04-24,38
2022-05-01,43
2022-05-08,51
2022-05-15,56
2022-05-22,53
2022-05-29,55
2022-06-05,60
2022-06-12,44
2022-06-19,42
2022-06-26,41
2022-07-03,46
2022-07-10,33
2022-07-17,25
2022-07-24,21
2022-07-31,17
2022-08-07,13
2022-08-14,18
2022-08-21,10
2022-08-28,13
2022-09-04,9
2022-09-11,13
2022-09-18,9
2022-09-25,8
2022-10-02,10
2022-10-09,9
2022-10-16,8
2022-10-23,4
2022-10-30,9
2022-11-06,7
2022-11-13,8
2022-11-20,12
2022-11-27,8
2022-12-04,8
2022-12-11,7
2022-12-18,7
2022-12-25,10
