Category: Food & Drink

Week,Butter chicken: (Delhi)
2018-01-07,30
2018-01-14,41
2018-01-21,33
2018-01-28,29
2018-02-04,21
2018-02-11,41
2018-02-18,97
2018-02-25,100
2018-03-04,99
2018-03-11,95
2018-03-18,59
2018-03-25,67
2018-04-01,54
2018-04-08,35
2018-04-15,28
2018-04-22,40
2018-04-29,30
2018-05-06,25
2018-05-13,31
2018-05-20,21
2018-05-27,27
2018-06-03,41
2018-06-10,23
2018-06-17,29
2018-06-24,23
2018-07-01,25
2018-07-08,31
2018-07-15,23
2018-07-22,35
2018-07-29,31
2018-08-05,32
2018-08-12,22
2018-08-19,24
2018-08-26,26
2018-09-02,21
2018-09-09,28
2018-09-16,30
2018-09-23,21
2018-09-30,20
2018-10-07,23
2018-10-14,22
2018-10-21,20
2018-10-28,17
2018-11-04,38
2018-11-11,32
2018-11-18,31
2018-11-25,54
2018-12-02,39
2018-12-09,11
2018-12-16,31
2018-12-23,46
2018-12-30,34
2019-01-06,40
2019-01-13,39
2019-01-20,24
2019-01-27,37
2019-02-03,18
2019-02-10,21
2019-02-17,33
2019-02-24,18
2019-03-03,27
2019-03-10,32
2019-03-17,38
2019-03-24,25
2019-03-31,23
2019-04-07,21
2019-04-14,18
2019-04-21,36
2019-04-28,26
2019-05-05,37
2019-05-12,27
2019-05-19,30
2019-05-26,43
2019-06-02,0
2019-06-09,43
2019-06-16,20
2019-06-23,36
2019-06-30,41
2019-07-07,19
2019-07-14,33
2019-07-21,23
2019-07-28,40
2019-08-04,27
2019-08-11,33
2019-08-18,22
2019-08-25,34
2019-09-01,31
2019-09-08,39
2019-09-15,34
2019-09-22,34
2019-09-29,6
2019-10-06,31
2019-10-13,32
2019-10-20,14
2019-10-27,30
2019-11-03,27
2019-11-10,31
2019-11-17,39
2019-11-24,47
2019-12-01,33
2019-12-08,45
2019-12-15,43
2019-12-22,47
2019-12-29,31
2020-01-05,22
2020-01-12,31
2020-01-19,30
2020-01-26,18
2020-02-02,40
2020-02-09,46
2020-02-16,41
2020-02-23,21
2020-03-01,28
2020-03-08,23
2020-03-15,33
2020-03-22,15
2020-03-29,41
2020-04-05,25
2020-04-12,41
2020-04-19,61
2020-04-26,62
2020-05-03,42
2020-05-10,58
2020-05-17,42
2020-05-24,71
2020-05-31,65
2020-06-07,39
2020-06-14,41
2020-06-21,37
2020-06-28,56
2020-07-05,38
2020-07-12,20
2020-07-19,23
2020-07-26,46
2020-08-02,37
2020-08-09,21
2020-08-16,47
2020-08-23,34
2020-08-30,36
2020-09-06,27
2020-09-13,54
2020-09-20,22
2020-09-27,51
2020-10-04,43
2020-10-11,46
2020-10-18,14
2020-10-25,19
2020-11-01,24
2020-11-08,40
2020-11-15,48
2020-11-22,23
2020-11-29,35
2020-12-06,40
2020-12-13,41
2020-12-20,37
2020-12-27,44
2021-01-03,22
2021-01-10,9
2021-01-17,0
2021-01-24,27
2021-01-31,15
2021-02-07,15
2021-02-14,51
2021-02-21,31
2021-02-28,33
2021-03-07,27
2021-03-14,31
2021-03-21,22
2021-03-28,48
2021-04-04,22
2021-04-11,36
2021-04-18,25
2021-04-25,43
2021-05-02,45
2021-05-09,59
2021-05-16,28
2021-05-23,60
2021-05-30,37
2021-06-06,32
2021-06-13,43
2021-06-20,45
2021-06-27,22
2021-07-04,37
2021-07-11,29
2021-07-18,29
2021-07-25,29
2021-08-01,8
2021-08-08,24
2021-08-15,33
2021-08-22,33
2021-08-29,24
2021-09-05,42
2021-09-12,27
2021-09-19,12
2021-09-26,24
2021-10-03,15
2021-10-10,16
2021-10-17,40
2021-10-24,19
2021-10-31,14
2021-11-07,50
2021-11-14,40
2021-11-21,34
2021-11-28,23
2021-12-05,34
2021-12-12,36
2021-12-19,35
2021-12-26,19
2022-01-02,38
2022-01-09,24
2022-01-16,31
2022-01-23,22
2022-01-30,27
2022-02-06,43
2022-02-13,31
2022-02-20,35
2022-02-27,27
2022-03-06,36
2022-03-13,9
2022-03-20,37
2022-03-27,26
2022-04-03,16
2022-04-10,28
2022-04-17,25
2022-04-24,20
2022-05-01,36
2022-05-08,31
2022-05-15,46
2022-05-22,23
2022-05-29,17
2022-06-05,51
2022-06-12,33
2022-06-19,41
2022-06-26,14
2022-07-03,25
2022-07-10,19
2022-07-17,31
2022-07-24,11
2022-07-31,23
2022-08-07,31
2022-08-14,11
2022-08-21,47
2022-08-28,16
2022-09-04,25
2022-09-11,22
2022-09-18,21
2022-09-25,26
2022-10-02,24
2022-10-09,18
2022-10-16,44
2022-10-23,24
2022-10-30,40
2022-11-06,22
2022-11-13,29
2022-11-20,27
2022-11-27,24
2022-12-04,30
2022-12-11,24
2022-12-18,32
2022-12-25,38
