Category: Food & Drink

Week,Egg: (Delhi)
2018-01-07,37
2018-01-14,40
2018-01-21,34
2018-01-28,40
2018-02-04,34
2018-02-11,42
2018-02-18,48
2018-02-25,49
2018-03-04,51
2018-03-11,58
2018-03-18,43
2018-03-25,47
2018-04-01,47
2018-04-08,45
2018-04-15,39
2018-04-22,34
2018-04-29,27
2018-05-06,39
2018-05-13,38
2018-05-20,31
2018-05-27,35
2018-06-03,36
2018-06-10,26
2018-06-17,33
2018-06-24,32
2018-07-01,38
2018-07-08,43
2018-07-15,28
2018-07-22,32
2018-07-29,42
2018-08-05,40
2018-08-12,25
2018-08-19,35
2018-08-26,30
2018-09-02,43
2018-09-09,40
2018-09-16,38
2018-09-23,31
2018-09-30,39
2018-10-07,25
2018-10-14,30
2018-10-21,37
2018-10-28,38
2018-11-04,25
2018-11-11,47
2018-11-18,34
2018-11-25,51
2018-12-02,37
2018-12-09,36
2018-12-16,36
2018-12-23,47
2018-12-30,38
2019-01-06,48
2019-01-13,33
2019-01-20,52
2019-01-27,37
2019-02-03,40
2019-02-10,41
2019-02-17,30
2019-02-24,36
2019-03-03,33
2019-03-10,36
2019-03-17,43
2019-03-24,37
2019-03-31,41
2019-04-07,21
2019-04-14,29
2019-04-21,37
2019-04-28,33
2019-05-05,33
2019-05-12,37
2019-05-19,35
2019-05-26,32
2019-06-02,28
2019-06-09,41
2019-06-16,36
2019-06-23,38
2019-06-30,33
2019-07-07,32
2019-07-14,34
2019-07-21,34
2019-07-28,33
2019-08-04,31
2019-08-11,35
2019-08-18,41
2019-08-25,38
2019-09-01,43
2019-09-08,39
2019-09-15,45
2019-09-22,35
2019-09-29,22
2019-10-06,40
2019-10-13,37
2019-10-20,32
2019-10-27,44
2019-11-03,47
2019-11-10,44
2019-11-17,53
2019-11-24,45
2019-12-01,43
2019-12-08,33
2019-12-15,35
2019-12-22,48
2019-12-29,37
2020-01-05,26
2020-01-12,43
2020-01-19,46
2020-01-26,36
2020-02-02,37
2020-02-09,33
2020-02-16,42
2020-02-23,39
2020-03-01,36
2020-03-08,31
2020-03-15,28
2020-03-22,52
2020-03-29,60
2020-04-05,98
2020-04-12,96
2020-04-19,100
2020-04-26,93
2020-05-03,91
2020-05-10,80
2020-05-17,84
2020-05-24,65
2020-05-31,64
2020-06-07,65
2020-06-14,57
2020-06-21,56
2020-06-28,61
2020-07-05,51
2020-07-12,46
2020-07-19,47
2020-07-26,48
2020-08-02,48
2020-08-09,49
2020-08-16,54
2020-08-23,52
2020-08-30,42
2020-09-06,49
2020-09-13,48
2020-09-20,43
2020-09-27,49
2020-10-04,47
2020-10-11,41
2020-10-18,25
2020-10-25,42
2020-11-01,50
2020-11-08,34
2020-11-15,46
2020-11-22,48
2020-11-29,53
2020-12-06,46
2020-12-13,52
2020-12-20,55
2020-12-27,45
2021-01-03,51
2021-01-10,33
2021-01-17,28
2021-01-24,40
2021-01-31,40
2021-02-07,45
2021-02-14,38
2021-02-21,36
2021-02-28,39
2021-03-07,44
2021-03-14,47
2021-03-21,30
2021-03-28,31
2021-04-04,41
2021-04-11,31
2021-04-18,35
2021-04-25,54
2021-05-02,56
2021-05-09,65
2021-05-16,70
2021-05-23,65
2021-05-30,61
2021-06-06,63
2021-06-13,40
2021-06-20,41
2021-06-27,40
2021-07-04,49
2021-07-11,47
2021-07-18,45
2021-07-25,27
2021-08-01,34
2021-08-08,35
2021-08-15,36
2021-08-22,30
2021-08-29,44
2021-09-05,36
2021-09-12,35
2021-09-19,37
2021-09-26,18
2021-10-03,32
2021-10-10,30
2021-10-17,38
2021-10-24,35
2021-10-31,41
2021-11-07,30
2021-11-14,41
2021-11-21,44
2021-11-28,47
2021-12-05,48
2021-12-12,35
2021-12-19,34
2021-12-26,43
2022-01-02,53
2022-01-09,41
2022-01-16,45
2022-01-23,42
2022-01-30,45
2022-02-06,40
2022-02-13,31
2022-02-20,37
2022-02-27,43
2022-03-06,37
2022-03-13,39
2022-03-20,38
2022-03-27,31
2022-04-03,20
2022-04-10,39
2022-04-17,37
2022-04-24,35
2022-05-01,35
2022-05-08,38
2022-05-15,39
2022-05-22,41
2022-05-29,37
2022-06-05,36
2022-06-12,43
2022-06-19,49
2022-06-26,51
2022-07-03,34
2022-07-10,43
2022-07-17,41
2022-07-24,28
2022-07-31,31
2022-08-07,38
2022-08-14,33
2022-08-21,30
2022-08-28,41
2022-09-04,42
2022-09-11,40
2022-09-18,36
2022-09-25,26
2022-10-02,29
2022-10-09,38
2022-10-16,33
2022-10-23,26
2022-10-30,46
2022-11-06,36
2022-11-13,60
2022-11-20,44
2022-11-27,40
2022-12-04,43
2022-12-11,46
2022-12-18,49
2022-12-25,37
