Category: Food & Drink

Week,Panipuri: (Delhi)
2018-01-07,1
2018-01-14,4
2018-01-21,2
2018-01-28,7
2018-02-04,2
2018-02-11,0
2018-02-18,4
2018-02-25,9
2018-03-04,5
2018-03-11,5
2018-03-18,6
2018-03-25,6
2018-04-01,5
2018-04-08,6
2018-04-15,5
2018-04-22,5
2018-04-29,1
2018-05-06,4
2018-05-13,4
2018-05-20,6
2018-05-27,4
2018-06-03,7
2018-06-10,6
2018-06-17,5
2018-06-24,2
2018-07-01,6
2018-07-08,6
2018-07-15,6
2018-07-22,5
2018-07-29,2
2018-08-05,2
2018-08-12,7
2018-08-19,7
2018-08-26,5
2018-09-02,5
2018-09-09,5
2018-09-16,3
2018-09-23,6
2018-09-30,6
2018-10-07,5
2018-10-14,3
2018-10-21,7
2018-10-28,4
2018-11-04,3
2018-11-11,6
2018-11-18,6
2018-11-25,5
2018-12-02,7
2018-12-09,3
2018-12-16,5
2018-12-23,3
2018-12-30,3
2019-01-06,5
2019-01-13,3
2019-01-20,5
2019-01-27,4
2019-02-03,5
2019-02-10,6
2019-02-17,4
2019-02-24,7
2019-03-03,5
2019-03-10,8
2019-03-17,9
2019-03-24,5
2019-03-31,6
2019-04-07,8
2019-04-14,10
2019-04-21,7
2019-04-28,6
2019-05-05,7
2019-05-12,7
2019-05-19,8
2019-05-26,7
2019-06-02,8
2019-06-09,9
2019-06-16,7
2019-06-23,5
2019-06-30,7
2019-07-07,10
2019-07-14,4
2019-07-21,10
2019-07-28,8
2019-08-04,6
2019-08-11,7
2019-08-18,6
2019-08-25,5
2019-09-01,6
2019-09-08,10
2019-09-15,7
2019-09-22,6
2019-09-29,9
2019-10-06,7
2019-10-13,3
2019-10-20,6
2019-10-27,4
2019-11-03,7
2019-11-10,5
2019-11-17,6
2019-11-24,5
2019-12-01,7
2019-12-08,7
2019-12-15,5
2019-12-22,1
2019-12-29,6
2020-01-05,6
2020-01-12,3
2020-01-19,7
2020-01-26,2
2020-02-02,6
2020-02-09,5
2020-02-16,3
2020-02-23,7
2020-03-01,7
2020-03-08,8
2020-03-15,9
2020-03-22,9
2020-03-29,38
2020-04-05,83
2020-04-12,100
2020-04-19,84
2020-04-26,57
2020-05-03,42
2020-05-10,43
2020-05-17,27
2020-05-24,18
2020-05-31,16
2020-06-07,8
2020-06-14,11
2020-06-21,12
2020-06-28,11
2020-07-05,16
2020-07-12,11
2020-07-19,8
2020-07-26,7
2020-08-02,7
2020-08-09,9
2020-08-16,6
2020-08-23,7
2020-08-30,5
2020-09-06,6
2020-09-13,5
2020-09-20,6
2020-09-27,13
2020-10-04,4
2020-10-11,8
2020-10-18,7
2020-10-25,6
2020-11-01,5
2020-11-08,5
2020-11-15,6
2020-11-22,6
2020-11-29,5
2020-12-06,4
2020-12-13,4
2020-12-20,6
2020-12-27,8
2021-01-03,0
2021-01-10,3
2021-01-17,4
2021-01-24,5
2021-01-31,2
2021-02-07,9
2021-02-14,3
2021-02-21,5
2021-02-28,6
2021-03-07,2
2021-03-14,5
2021-03-21,8
2021-03-28,8
2021-04-04,6
2021-04-11,4
2021-04-18,7
2021-04-25,8
2021-05-02,9
2021-05-09,12
2021-05-16,13
2021-05-23,13
2021-05-30,14
2021-06-06,4
2021-06-13,11
2021-06-20,5
2021-06-27,7
2021-07-04,5
2021-07-11,6
2021-07-18,8
2021-07-25,7
2021-08-01,5
2021-08-08,5
2021-08-15,6
2021-08-22,7
2021-08-29,10
2021-09-05,6
2021-09-12,7
2021-09-19,4
2021-09-26,6
2021-10-03,4
2021-10-10,4
2021-10-17,9
2021-10-24,4
2021-10-31,3
2021-11-07,6
2021-11-14,8
2021-11-21,5
2021-11-28,3
2021-12-05,5
2021-12-12,4
2021-12-19,4
2021-12-26,3
2022-01-02,3
2022-01-09,4
2022-01-16,3
2022-01-23,9
2022-01-30,8
2022-02-06,4
2022-02-13,4
2022-02-20,3
2022-02-27,5
2022-03-06,6
2022-03-13,9
2022-03-20,3
2022-03-27,6
2022-04-03,5
2022-04-10,6
2022-04-17,6
2022-04-24,6
2022-05-01,5
2022-05-08,7
2022-05-15,5
2022-05-22,5
2022-05-29,7
2022-06-05,8
2022-06-12,3
2022-06-19,8
2022-06-26,5
2022-07-03,6
2022-07-10,6
2022-07-17,6
2022-07-24,5
2022-07-31,3
2022-08-07,7
2022-08-14,9
2022-08-21,5
2022-08-28,8
2022-09-04,7
2022-09-11,5
2022-09-18,6
2022-09-25,5
2022-10-02,4
2022-10-09,8
2022-10-16,5
2022-10-23,4
2022-10-30,4
2022-11-06,7
2022-11-13,6
2022-11-20,5
2022-11-27,6
2022-12-04,5
2022-12-11,6
2022-12-18,4
2022-12-25,6
